,Id,Sentiment,Tweet
206,1265501070970761218,-0.305555555555556,
207,1265501070891134978,0.0,various soundtrack appreciation time: a thread
208,1265501070383611905,0.188888888888889,
209,1265501071084064772,0.0,
210,1265501071109226496,0.0,RT @AFunnyValentine: @drdavidsamadi @realDonaldTrump @newsmax @gregkellyusa @chuckwoolery @mitchellvii When @LindseyGrahamSC is promoting B…
211,1265501071264358400,-0.4,"Is there Corona in South Africa?
Do you speak another language?

Maaaan fuck em kids😭😭💔💔💔30mins of nothing but questions..."
212,1265501071239151620,0.225,@TFhent 沢山絡んで行こうと思います٩(ˊᗜˋ*)و
213,1265501071423791104,0.0,"RT @tmafaisal: According to Hakem Al Mutairy, a Kuwaiti on the Saudi Ministry of Interior terrorist list, all Arab countries “from the Gulf…"
214,1265501071423799296,-0.0833333333333333,@bullfish777 @kamozark @toddstarnes We aren’t nurses or doctors and they have been posting selfies of their marks f… https://t.co/WukzkOHnQh
215,1265501071746781185,0.291666666666667,
216,1265501071545425925,0.0333333333333333,
217,1265501072287768585,0.0681818181818182,
218,1265501072384294913,0.0,@lLoveArtoria Tomboy&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
219,1265501073013342209,0.0,
220,1265501073135022082,-0.1125,
221,1265501073084743685,-0.09375,
222,1265501073365700620,0.0,
223,1265501073466327040,0.8,RT @Sun_Q_Tzu: Great question 👇 https://t.co/t4HlM2ahY1
224,1265501073986519044,0.0,"ㅤㅤ
ㅤㅤ
     towards the end of 𝟐𝟎𝟎𝟗 ， 𝓝ina released her second extended play ， 𝐈𝐔...𝐈𝐌. she began promoting its lead… https://t.co/slbMny6Da9"
225,1265501073986539521,0.05,
226,1265501074217226241,0.0,
227,1265501074116554752,0.0,The only man that matter. https://t.co/0ioFIJcTh8
228,1265501074309480448,0.0,RT @MyTransit_DC: Fairfax County Week in COVID-19 - Virginia Connection Newspapers #WMATA #Transit #WashingtonDC #Transportation #DCMetro :…
229,1265501074342977536,0.0,RT @RuthDavidsonMSP: We must not let China use Covid as cover for a Hong Kong power grab https://t.co/cN3gafzwur
230,1265501074313666563,0.0,
231,1265501074569519105,0.0,
232,1265501074590490632,0.5,
233,1265501074791829504,0.25,RT @greysanatomy112: @Facts07829447 @realTT2020 @historygirlMA @KyleClark This is exactly what @SpeakerPelosi @JoeBiden @GovWhitmer @NYGovC…
234,1265501074905092097,0.25,
235,1265501074963775489,-0.65,
236,1265501075433545730,0.166666666666667,
237,1265501075584491530,0.05,
238,1265501075571908613,0.0,
239,1265501075685113857,0.5,
240,1265501075903254531,0.0,
241,1265501076263968769,0.0,
242,1265501076289196043,0.2,
243,1265501076486336514,0.0,
244,1265501076612165633,0.0,
245,1265501077010612225,0.178787878787879,
246,1265501076939300865,0.0,
247,1265501077216145408,0.0,RT @jennajameson: Why do we have covid tracers and not pedo tracers?
248,1265501077509672962,0.0,
249,1265501077467795457,0.0514393939393939,
250,1265501077451005959,0.0,
251,1265501077929148417,0.0715909090909091,RT @Sodastii: เเฟนอะหรอ บางวันก็น่ารัก
252,1265501078042402819,0.0916666666666667,
253,1265501078457593856,0.5,RT @hoelixir: Everyone is safe here.
254,1265501078545747969,-0.0625,
255,1265501078373699589,0.170454545454545,
256,1265501078776397830,0.0,"RT @MassMania_: 🔔

Just 10 Days Left For the Trend😎

#RCTrendOnJune6th🤘

This Time We Are Gonna Hit Hard, Spread This To All @AlwaysRamChar…"
257,1265501078818340868,0.0,
258,1265501079086694402,0.0681818181818182,
259,1265501079057444864,-0.00625000000000001,RT @BusyDrT: The Media simply picks &amp; chooses whatever serves their own twisted agenda! CDC Confirms Remarkably Low Death Rate - Media Choo…
260,1265501079095083014,0.7,
261,1265501078956716032,0.0,RT @ProfPCDoherty: One way out of this. https://t.co/YcyQxdBoZ1
262,1265501079200043013,-0.125,
263,1265501078843527174,-0.188888888888889,
264,1265501079279632386,0.05,RT @wonderwuland: Aku ngga tau siapa yang buat ini tapi aku berdoa semoga matinya syahid karena aku yakin bahwasanya diagram ini telah memb…
265,1265501079208374275,-0.2,"RT @KRoolKountry: Dear men, what is preventing you from looking like this? https://t.co/kcS1lcV143"
266,1265501079447506944,0.0,
267,1265501079367757826,0.0125,
268,1265501079468457991,0.0,RT @CaslerNoel: Says the guy who has snorted Adderall every single day he’s been in office and has gotten a pass on it in the press. No one…
269,1265501079413932034,0.366666666666667,
270,1265501079543963649,-0.1,
271,1265501079472652290,0.462121212121212,
272,1265501079963348997,-0.183333333333333,
273,1265501080097619968,0.25,"RT @acrawsa: For First Nations people, coronavirus has meant fewer services, separated families and over-policing
https://t.co/IHOKgqY4gh"
274,1265501080282181632,0.0,"RT @XXL: The coronavirus to us 

https://t.co/4tgjihmZgy"
275,1265501080491786240,0.227272727272727,RT @Kvy____: When a person tests positive for COVID-19 &amp; has to be admitted to the hospital. You’re alone. You’re child is alone. Your pare…
276,1265501080462462976,0.0,RT @ayai: It’s a bit unfair that the youngsters need to master a lot of skills yet the elders at the top don’t even know how to operate a s…
277,1265501080500285441,0.08,RT @HKrassenstein: @realDonaldTrump Only Trump would celebrate the lay-off of American workers.
278,1265501080231739393,0.0,
279,1265501080437297153,0.136363636363636,
280,1265501080512794628,0.0,
281,1265501080697389057,0.0,@colorbabyxo1 CARA IDAI EU TAVA FALANDO DELA SOBRE A COMIDA DELA COLOR
282,1265501080613466117,0.8,
283,1265501080579977220,0.0,
284,1265501081108447239,0.05,
285,1265501081318174721,0.0909090909090909,@rea_jason And it wasn't last week lol
286,1265501081301327873,0.182539682539683,RT @Rogue_Leia_: @pamsterhaze @ErikaLo39725137 @eugenegu @realDonaldTrump @Twitter @TwitterSupport But trying to MISLEAD an Election via @T…
287,1265501081339072513,0.227272727272727,
288,1265501081393561600,0.0,"RT @Omkar_Raii: As #COVID19 continues to impact lives &amp; economies with multifarious challenges, the Indian #SMBs need to follow the path of…"
289,1265501081481760774,0.0348484848484848,
290,1265501081792139269,0.5,
291,1265501081779437568,-0.0625,"@ksagaca @KFIAirport
salam alaikum We travel by SV on Mar 19 20 from DMM airport To AHB return flight cancelled Mar… https://t.co/I3FclQWUfG"
292,1265501081817288706,0.3,
293,1265501082081509383,0.1,
294,1265501082073137153,0.0,
295,1265501081989193731,0.0,#N/A
296,1265501082773524483,0.0037878787878787800,RT @EducationaIPic: Do you agree with this? 🤣🤣🤣 https://t.co/9EnCM17JpZ
297,1265501083234971648,0.0,RT @ChinaAmbUganda: Congratulations on Uganda’s face-mask factory commissioned by President Museveni. The factory is invested by a Chinese…
298,1265501083432112131,0.5,
299,1265501083494948864,0.0,"RT @Lowcountry1Girl: Kudlow: ‘US will pay for companies to bring supply chains home from China.’

Time to get out of China and return our s…"
300,1265501083591417857,0.0,
301,1265501084031815683,0.015,
302,1265501084006612992,0.0,RT @coleenchristie: Please listen to this and share. #HealthNotHate
303,1265501084136681477,0.35,@hywalsh O melhor Squad com certeza 🥰
304,1265501084346433538,-0.2,
305,1265501084434530304,0.0,"RT @StateDept: In Tibet, the PRC government continued to conduct a campaign sending police into Tibetan homes as a means to further restric…"
306,1265501084484866053,0.45,
307,1265501084514226178,0.05,
308,1265501084963012611,0.25,
309,1265501085080391685,0.107954545454545,
310,1265501085072011264,0.0,"Not likely. They've had years to do so, instead Ms Zuma caused thousands of deaths, no sense here st all https://t.co/rp7cbO8qYQ"
311,1265501084862291971,0.0,
312,1265501085457879040,0.75,RT @Mike_Pence: Good Conference Call today with our Nation’s Governors and the @WhiteHouse Coronavirus Task Force. Great progress is being…
313,1265501085487292422,0.0,
314,1265501085629849601,-0.2,
315,1265501085701148674,-0.125,
316,1265501085680242689,0.25,先輩に振り回される系の可愛い後輩も好きなんだけど、先輩を砂糖漬けの日々で縛り付けて心をめちゃくちゃに掻き回して自分無しで生きていけなくする系の最強の後輩が見たい
317,1265501085973786625,0.0,RT @digital_trans4m: Exclusive: Machine Learning Company Insitro Raises $143 Million To Bridge Biology And AI - Forbes #AI #DigitalTransfor…
318,1265501085290106882,-0.0172222222222222,
319,1265501086359707651,0.0681818181818182,
320,1265501086363852802,0.0,
321,1265501086447788034,0.0,
322,1265501086628171776,-0.3,"RT @mafect: US, Russia and Brazil what do they all have in common?"
323,1265501086774935555,0.0,
324,1265501086858858497,0.0,
325,1265501084115705859,0.0,
326,1265501087219486722,-0.5,
327,1265501087236268041,-0.0555555555555556,
328,1265501087559290884,1.0,
329,1265501087584444421,0.0,"RT @defcovery: 191008 안녕하세요.냐🥺
#JB #JayB #제이비 #재범 
#GOT7 #갓세븐 https://t.co/RBZBqCHkms"
330,1265501087894831105,0.6,@CoyoteLovelyYT I don't think humanity was morally ready for or deserving of the internet
331,1265501087982813188,0.475,
332,1265501088377180160,-0.125,RT @BlockClubCHI: The Edgewater Farmers Market has canceled its season due to coronavirus. https://t.co/JaSc6N8hPx https://t.co/mhsclAIaC9
333,1265501087882240009,0.227272727272727,どうやら僕は、アイドルの闇を見てしまったようです… https://t.co/luFXtBJz4w
334,1265501088570118150,0.0,@km_mm5mns @waka2074 @25_atmr 下から2番目だけど母の座貰おうかしら🤔💭笑
335,1265501088888901632,0.1,
336,1265501088767188992,-0.5,"RT @MirrorPolitics: EXCLUSIVE: Police break up illegal #lockdown birthday party at Tory MP's house
#Coronavirus #DominicCummings #Cummings…"
337,1265501088876244992,-0.05,"Scott Morrison has thrown out the industrial relations rulebook, but can old enemies work together?… https://t.co/WUTwP2OgPD"
338,1265501089371246592,0.0,RT @thegoodgodabove: Please take the time to remember all the healthcare heroes who have died in the war against COVID. What’s that? You’re…
339,1265501089513824256,-0.5,RT @RealMattCouch: HOLY SH*T Insider Reveals STAGED Fake #COVID19 Testing Line on CBS This Morning (VIDEO) https://t.co/lavjSMqWBS
340,1265501089681506312,0.0,
341,1265501089757102081,0.0,
342,1265501089819955200,0.0,RT @ayai: It’s a bit unfair that the youngsters need to master a lot of skills yet the elders at the top don’t even know how to operate a s…
343,1265501089970958340,-0.4375,
344,1265501090092593152,-0.0333333333333333,"RT @Lrihendry: I am much more afraid of a Democrat in the White House than I am of COVID-19, aren’t you?"
345,1265501090604253185,-0.5,
346,1265501090700820481,-0.115625,
347,1265501090780512257,0.2,
348,1265501090814005249,0.0,
349,1265501090927333377,0.5,ｳﾞｯ... https://t.co/KKiwGWBdjj
350,1265501090906279936,0.0,RT @bfischera: Family doctors are in this “non essential” group. We sometimes need to see patients with Covid or Covid like symptoms. We do…
351,1265501090826641409,0.0,
352,1265501091178962945,0.0,
353,1265501091334107137,0.0,
354,1265501091174719498,0.25,
355,1265501091539673090,0.7,
356,1265501091749335040,0.268181818181818,"RT @TIME: J.K. Rowling is publishing a new story called “The Ickabog,” which will be free to read online to help entertain children and fam…"
357,1265501092076572672,-0.65,"@NC_Governor No, it doesn't.  It signifies that you are afraid of a virus with a &gt; 99% survival rate that &gt; 85% of… https://t.co/foTdMxQSaS"
358,1265501092395220994,0.8,
359,1265501092789522433,0.225,
360,1265501093095706625,0.6,
361,1265501092898656256,0.0,"Indian Scientists Discover Hydroxychloroquine Treatment Prevents COVID-19, Vindicating President Trump… https://t.co/NpRHykAaxN"
362,1265501093292802048,0.0,RT @Kanko_Jpn: the Go to Travel Campaign under consideration by the Japanese government is to stimulate domestic travel demand within Japan…
363,1265501093368340480,0.0778409090909091,"RT @Crunchyroll: NEWS: New Seven Deadly Sins TV Anime Delayed Due to COVID-19

✨ More: https://t.co/cmJxcgNAFN https://t.co/fyi12CHWHF"
364,1265501093770997766,0.418181818181818,
365,1265501093842345984,0.6,"RT @mana_kailani: Oh look .., the billionaires who own Channel 7 promoting a Go Fund Me page on their website for Pauline Hanson to take An…"
366,1265501094651858950,0.5,RT @avndec31: Gharana mogudu 50 days AP share 4cr ani oka paper cutting chupinchi IH fake ani vagina prathi kukka deniki samadhanam cheppal…
367,1265501094769307650,0.2,"RT @YahooNewsTopics: 【北九州市長「第2波の入り口」】
https://t.co/MJs3UHrUXG

北九州市は26日、再開した公共施設43カ所を再び休館することを決めた。市内では23～25日で計12人の感染者が確認され、北橋市長は「第2波の入り口に立っ…"
368,1265501095029243905,0.0,
369,1265501095176089600,0.0,"RT @DEPLORABLEREEG1: Are anymore Hollywood celebrities getting the Corona virus...

or was that just for a week?😡"
370,1265501095360630784,0.25,
371,1265501095603900416,0.8,RT @079Kal: The car being locked wasn’t a issue lol
372,1265501095662682114,0.0,
373,1265501095633326081,0.0,
374,1265501095666896899,0.5,
375,1265501095884926978,-0.305555555555556,
376,1265501096191164417,0.0,
377,1265501096463736832,0.7,RT @WajahatAli: Has Trump tweeted anything today to the families and friends of those who lost loved ones to #coronavirus? Anything?
378,1265501096778371074,0.0,
379,1265501096828698624,0.1,"RT @TODAYshow: Betty White, 98, is 'doing very well' despite the coronavirus pandemic
https://t.co/3xJqVezegN"
380,1265501096660926464,0.025,"RT @AnikaNoniRose: Funny, this wasn't the reaction during the armed Covid protests a few weeks ago."
381,1265501097273315334,-0.162962962962963,
382,1265501097285877762,0.136363636363636,
